hour,dayOfWeek,month,temperature,previousConsumption,energyConsumption
8,4,1,5.11,4.8411,5.2875
9,4,1,5.81,2.7614,3.1012
10,4,1,7.32,4.052,3.9123
11,4,1,6.81,3.2196,3.5267
12,4,1,7.94,3.7926,3.7224
13,4,1,7.26,3.4565,3.4449
14,4,1,8.57,3.4588,3.3391
15,4,1,3.38,3.9309,3.9152
16,4,1,1.57,3.1114,3.6312
17,4,1,4.44,3.6406,3.7513
18,4,1,2.91,5.3159,5.8727
19,4,1,5.78,5.437,5.7862
20,4,1,5.4,5.9212,6.3327
21,4,1,5.13,6.3183,6.1417
22,4,1,6.55,1.8224,1.9173
23,4,1,3.38,1.7904,1.8835
0,5,1,5.39,0.7803,0.8101
1,5,1,5.84,0.816,0.9053
2,5,1,9.68,0.9365,0.8974
3,5,1,3.4,0.7335,0.7678
4,5,1,6.69,0.8742,0.9042
5,5,1,4.81,0.809,0.9266
6,5,1,5.79,3.4938,4.0542
7,5,1,3.11,3.5765,4.1419
8,5,1,5.25,3.5637,3.6269
9,5,1,3.31,2.7853,2.707
10,5,1,8.2,2.2699,2.3461
11,5,1,8.35,2.1294,2.4163
12,5,1,5.11,2.5822,2.7439
13,5,1,9.6,2.5237,2.4396
14,5,1,9.49,2.3029,2.223
15,5,1,5.52,2.1562,2.3411
16,5,1,2.84,2.1318,2.4007
17,5,1,5.67,2.2843,2.3049
18,5,1,6.02,3.9684,4.0463
19,5,1,9.24,4.1005,4.7198
20,5,1,3.0,4.9431,4.8214
21,5,1,4.76,4.0213,4.3536
22,5,1,6.1,1.1481,1.3317
23,5,1,3.0,1.2216,1.3175
0,6,2,2.79,0.7725,0.792
1,6,2,6.07,0.7739,0.8088
2,6,2,6.15,0.7891,0.8156
3,6,2,8.66,0.8714,0.8444
4,6,2,7.38,0.7028,0.751
5,6,2,8.08,0.8834,0.9381
6,6,2,10.06,3.4201,3.9073
7,6,2,6.52,3.8366,3.8571
8,6,2,3.53,3.8599,3.9691
9,6,2,6.67,2.7145,2.6514
10,6,2,8.97,2.218,2.483
11,6,2,12.87,2.3699,2.5373
12,6,2,6.34,2.3336,2.3553
13,6,2,6.65,2.2721,2.211
14,6,2,8.32,2.0654,2.2735
15,6,2,10.96,2.5007,2.5724
16,6,2,8.39,2.0005,2.3319
17,6,2,3.34,1.8563,2.1814
18,6,2,8.83,5.0467,5.0402
19,6,2,7.85,4.2501,4.5348
20,6,2,4.14,4.282,4.5737
21,6,2,8.67,5.229,4.9847
22,6,2,4.93,1.2063,1.3613
23,6,2,7.46,1.1757,1.3286
0,0,2,6.07,1.2395,1.1989
1,0,2,7.33,1.0007,1.0753
2,0,2,8.32,1.1851,1.1317
3,0,2,3.94,1.0738,1.1131
4,0,2,2.53,1.1319,1.2232
5,0,2,8.71,1.0254,1.0959
6,0,2,7.23,5.5306,5.9861
7,0,2,8.44,4.3596,4.9313
8,0,2,8.78,5.2649,5.8008
9,0,2,8.83,3.2064,3.1358
10,0,2,7.0,2.6965,3.1547
11,0,2,7.52,3.4057,3.797
12,0,2,7.63,3.4693,3.438
13,0,2,12.37,3.6679,3.5006
14,0,2,9.02,3.2502,3.7778
15,0,2,11.24,3.7597,3.8245
16,0,2,7.23,3.0824,3.3012
17,0,2,10.97,3.3155,3.518
18,0,2,9.02,5.578,6.1965
19,0,2,1.73,6.0993,5.9539
20,0,2,9.44,5.8621,5.9287
21,0,2,4.7,5.3604,6.0906
22,0,2,6.43,1.787,1.7827
23,0,2,12.03,1.7809,1.7815
0,1,2,8.19,1.228,1.2265
1,1,2,2.39,1.0264,1.0591
2,1,2,4.56,1.0035,1.1302
3,1,2,9.5,1.1786,1.2159
4,1,2,7.74,1.3092,1.2729
5,1,2,4.13,1.0834,1.1272
6,1,2,7.15,5.4673,5.2753
7,1,2,9.64,5.7183,6.1265
8,1,2,7.46,4.7782,5.483
9,1,2,8.74,3.0422,3.5232
10,1,2,10.08,2.8325,3.184
11,1,2,8.27,3.2564,3.1614
12,1,2,3.62,3.1011,3.1376
13,1,2,8.59,3.7743,3.7162
14,1,2,10.08,3.2669,3.5724
15,1,2,9.87,3.7576,3.8839
16,1,2,7.84,3.4514,3.4472
17,1,2,2.58,2.8627,3.2147
18,1,2,7.12,6.24,6.4709
19,1,2,5.62,6.1385,6.3507
20,1,2,7.68,6.7053,6.7454
21,1,2,7.06,6.7786,6.9528
22,1,2,7.65,1.7848,2.051
23,1,2,7.08,2.0627,2.0132
0,2,2,5.43,1.0479,1.082
1,2,2,3.09,1.287,1.2674
2,2,2,9.21,1.1254,1.2263
3,2,2,7.73,1.2979,1.3049
4,2,2,5.94,0.9995,1.1621
5,2,2,6.7,1.0279,1.1116
6,2,2,5.35,4.9394,5.5068
7,2,2,3.46,5.3561,5.2866
8,2,2,6.7,5.9215,5.8597
9,2,2,4.53,2.9399,3.4178
10,2,2,8.24,3.6481,3.8223
11,2,2,6.56,3.3031,3.2579
12,2,2,13.71,3.0668,3.1085
13,2,2,10.04,3.4194,3.7765
14,2,2,7.69,4.0147,3.8699
15,2,2,7.68,3.4115,3.6195
16,2,2,5.29,2.7648,3.1803
17,2,2,3.98,3.3257,3.7828
18,2,2,4.12,5.8724,6.5758
19,2,2,5.62,6.0948,6.5988
20,2,2,6.53,6.2873,7.143
21,2,2,7.16,7.2406,7.1279
22,2,2,6.57,2.0121,2.0577
23,2,2,8.02,1.8415,1.7679
0,3,2,4.74,1.1856,1.2811
1,3,2,6.3,1.1444,1.2028
2,3,2,8.2,1.0384,1.1538
3,3,2,6.96,1.2153,1.1641
4,3,2,5.1,1.0434,1.1481
5,3,2,8.68,1.1743,1.1998
6,3,2,2.11,5.1568,5.2165
7,3,2,7.61,4.8894,5.1864
8,3,2,7.47,5.5742,5.6553
9,3,2,9.54,3.4113,3.5139
10,3,2,7.89,2.7097,3.1147
11,3,2,8.93,3.3412,3.9163
12,3,2,7.33,3.7678,3.7108
13,3,2,9.61,3.5624,3.6007
14,3,2,12.06,3.2949,3.1827
15,3,2,8.07,3.2731,3.7824
16,3,2,7.86,2.8953,3.0833
17,3,2,8.66,3.027,3.2194
18,3,2,7.58,7.1156,6.9176
19,3,2,6.15,5.3764,5.9141
20,3,2,4.77,5.4564,5.8584
21,3,2,7.76,6.715,7.203
22,3,2,5.86,1.9806,1.9792
23,3,2,5.53,1.7795,1.8292
0,4,2,3.03,1.1483,1.2478
1,4,2,6.28,1.2255,1.2919
2,4,2,7.28,1.0761,1.1341
3,4,2,8.18,1.323,1.3039
4,4,2,7.22,1.3636,1.3087
5,4,2,9.86,1.277,1.3244
6,4,2,6.9,5.1251,5.5797
7,4,2,7.44,4.4698,5.1585
8,4,2,9.45,5.8677,6.0118
9,4,2,7.26,3.2435,3.44
10,4,2,11.03,3.3552,3.7713
11,4,2,10.44,3.5881,3.7184
12,4,2,9.42,3.412,3.3245
13,4,2,11.32,3.6869,3.7509
14,4,2,6.83,3.656,3.9142
15,4,2,9.93,3.4852,3.7054
16,4,2,8.98,3.2854,3.4113
17,4,2,8.58,3.329,3.2697
18,4,2,6.32,5.6962,6.3348
19,4,2,4.71,7.1796,6.9771
20,4,2,8.15,6.2426,6.6167
21,4,2,8.15,5.9668,6.4178
22,4,2,2.79,1.9378,2.0394
23,4,2,8.36,2.1507,2.1526
0,5,2,5.13,0.9193,0.9006
1,5,2,6.92,0.7771,0.8567
2,5,2,9.21,0.775,0.7873
3,5,2,6.42,0.8757,0.8422
4,5,2,6.39,0.9591,0.9157
5,5,2,8.91,0.6925,0.7457
6,5,2,7.83,3.8495,4.0244
7,5,2,6.32,4.1051,4.1386
8,5,2,9.39,3.7745,4.2127
9,5,2,5.47,2.6465,2.534
10,5,2,6.39,2.0216,2.3028
11,5,2,11.07,2.1761,2.2891
12,5,2,7.33,2.0794,2.1631
13,5,2,8.14,2.4231,2.6308
14,5,2,7.1,2.2506,2.2547
15,5,2,7.65,2.0769,2.2364
16,5,2,5.96,1.9629,2.1576
17,5,2,7.88,2.1276,2.3524
18,5,2,7.47,4.017,4.2022
19,5,2,9.63,4.0236,4.6322
20,5,2,7.41,4.2075,4.1951
21,5,2,8.49,4.3304,4.8588
22,5,2,6.78,1.1984,1.399
23,5,2,9.07,1.5011,1.4753
0,6,2,4.44,0.9257,0.917
1,6,2,9.3,0.8667,0.88
2,6,2,6.79,0.9003,0.8708
3,6,2,8.21,0.6941,0.8029
4,6,2,8.87,0.8166,0.829
5,6,2,7.3,0.8285,0.939
6,6,2,6.27,3.6179,4.208
7,6,2,6.35,3.6404,3.7158
8,6,2,6.64,3.1819,3.628
9,6,2,8.58,2.167,2.2168
10,6,2,11.08,2.2568,2.2834
11,6,2,7.33,2.5645,2.473
12,6,2,8.16,2.2902,2.6475
13,6,2,6.16,2.7901,2.7372
14,6,2,7.58,2.3242,2.5245
15,6,2,6.61,2.7385,2.609
16,6,2,9.28,2.1245,2.192
17,6,2,4.84,2.1062,2.2999
18,6,2,8.82,3.7134,4.2047
19,6,2,6.17,4.9016,4.9576
20,6,2,7.28,3.8805,4.0349
21,6,2,6.73,4.362,4.6556
22,6,2,7.78,1.3099,1.3287
23,6,2,8.24,1.6249,1.5532
0,0,2,5.43,1.0638,1.19
1,0,2,5.11,1.1342,1.2681
2,0,2,8.15,1.2075,1.1893
3,0,2,7.65,1.2164,1.2412
4,0,2,5.64,0.9992,1.1631
5,0,2,5.57,1.1071,1.1807
6,0,2,9.51,4.9505,5.1164
7,0,2,8.63,4.942,4.9248
8,0,2,6.52,5.0014,5.3419
9,0,2,5.6,3.3549,3.3495
10,0,2,6.93,3.4037,3.6351
11,0,2,9.85,3.274,3.4281
12,0,2,9.65,2.9552,3.1676
13,0,2,10.44,3.2925,3.4248
14,0,2,6.79,3.0305,3.1104
15,0,2,4.67,2.787,3.097
16,0,2,5.36,2.9519,3.2621
17,0,2,5.66,2.9964,3.5244
18,0,2,5.43,5.6309,5.866
19,0,2,8.01,5.8809,6.5755
20,0,2,7.1,6.266,7.1885
21,0,2,6.52,6.2238,5.9486
22,0,2,10.35,2.1501,2.0529
23,0,2,4.67,1.9845,2.2278
0,1,2,4.51,1.0908,1.177
1,1,2,7.61,1.1533,1.099
2,1,2,6.65,1.297,1.2428
3,1,2,7.66,1.2736,1.3218
4,1,2,4.41,1.0514,1.099
5,1,2,8.07,1.0461,1.1874
6,1,2,9.36,5.1138,5.9678
7,1,2,4.86,5.2445,6.1592
8,1,2,6.75,4.9391,5.7299
9,1,2,3.56,3.5363,3.6546
10,1,2,14.62,3.5516,3.6657
11,1,2,9.52,3.6468,3.553
12,1,2,9.64,3.1784,3.4763
13,1,2,6.35,2.8,3.2855
14,1,2,4.01,3.3093,3.2669
15,1,2,6.84,3.0981,3.3182
16,1,2,8.29,3.9064,3.7506
17,1,2,6.5,3.2261,3.209
18,1,2,6.78,6.8132,7.1449
19,1,2,4.86,5.0843,5.965
20,1,2,5.17,6.2937,7.2329
21,1,2,8.46,5.8677,6.1212
22,1,2,8.12,1.8293,1.8961
23,1,2,8.54,1.9458,1.9852
0,2,2,6.58,1.2593,1.324
1,2,2,4.1,1.2344,1.2443
2,2,2,10.28,1.2723,1.308
3,2,2,7.21,1.0535,1.0847
4,2,2,10.16,0.9703,1.1255
5,2,2,5.06,1.0714,1.1022
6,2,2,5.21,5.403,5.9249
7,2,2,8.1,5.2737,5.5832
8,2,2,5.88,5.3519,5.1173
9,2,2,8.86,3.6588,3.7765
10,2,2,3.02,3.213,3.7064
11,2,2,7.7,3.1184,3.5756
12,2,2,11.03,3.3715,3.7107
13,2,2,8.24,3.6816,3.7201
14,2,2,9.34,3.8212,3.6755
15,2,2,6.16,3.0083,3.354
16,2,2,5.84,3.4993,3.7036
17,2,2,4.46,2.9368,3.3439
18,2,2,6.87,6.8527,7.0611
19,2,2,6.45,5.999,6.9523
20,2,2,6.56,6.3651,6.079
21,2,2,5.14,5.6878,6.6837
22,2,2,8.56,1.9121,2.0651
23,2,2,5.33,1.9983,2.1271
0,3,2,4.93,1.2829,1.241
1,3,2,11.1,1.1402,1.3113
2,3,2,6.11,1.2468,1.2815
3,3,2,5.61,0.9821,1.0997
4,3,2,6.94,1.1525,1.2282
5,3,2,9.75,1.2117,1.3102
6,3,2,5.53,4.7695,5.3808
7,3,2,11.16,4.6348,5.432
8,3,2,9.0,5.8855,5.9168
9,3,2,3.4,3.5248,3.8417
10,3,2,4.55,3.2447,3.5914
11,3,2,9.98,3.1181,3.1757
12,3,2,7.66,3.3966,3.7192
13,3,2,7.37,3.3204,3.461
14,3,2,9.26,3.9415,3.8149
15,3,2,4.41,3.6689,3.8902
16,3,2,7.3,2.9236,3.1502
17,3,2,6.53,3.4503,3.8807
18,3,2,4.82,6.7563,6.9069
19,3,2,7.64,6.1079,6.2371
20,3,2,8.68,6.5389,7.1828
21,3,2,6.31,6.7016,6.8294
22,3,2,9.02,1.8199,2.0636
23,3,2,5.52,1.7095,1.8899
0,4,2,7.47,1.0553,1.1517
1,4,2,9.35,0.9871,1.1108
2,4,2,4.69,1.0798,1.0931
3,4,2,4.22,1.2145,1.1789
4,4,2,5.16,1.0623,1.0684
5,4,2,6.9,1.1187,1.2988
6,4,2,5.92,4.8603,5.337
7,4,2,7.37,5.3099,6.1547
8,4,2,8.22,5.6672,5.6841
9,4,2,8.04,3.3706,3.8011
10,4,2,8.48,3.2989,3.5828
11,4,2,10.6,2.9656,3.2364
12,4,2,8.96,3.2317,3.1278
13,4,2,9.98,4.0725,3.9051
14,4,2,8.81,3.5707,3.6805
15,4,2,7.17,2.8059,3.1608
16,4,2,10.15,3.7572,3.5875
17,4,2,5.19,3.8496,3.677
18,4,2,4.47,5.918,5.7827
19,4,2,8.61,5.4488,5.7268
20,4,2,8.02,5.805,6.1214
21,4,2,4.87,5.0321,5.81
22,4,2,9.73,1.9109,2.1748
23,4,2,8.0,1.5855,1.8536
0,5,2,4.85,0.8623,0.8803
1,5,2,6.87,0.7394,0.8511
2,5,2,6.99,0.9292,0.927
3,5,2,7.33,0.9054,0.924
4,5,2,7.84,0.7003,0.8232
5,5,2,5.25,0.6616,0.7613
6,5,2,9.03,4.0688,4.036
7,5,2,10.44,3.5218,3.5233
8,5,2,4.92,3.0808,3.4
9,5,2,5.7,2.3459,2.3173
10,5,2,8.27,2.2515,2.565
11,5,2,9.04,2.2706,2.5542
12,5,2,8.23,2.2887,2.4403
13,5,2,13.84,2.1408,2.4608
14,5,2,7.1,2.3251,2.2339
15,5,2,9.61,2.1625,2.3649
16,5,2,7.18,2.5712,2.487
17,5,2,4.66,2.1373,2.2235
18,5,2,7.88,5.006,4.8797
19,5,2,8.05,4.8652,5.0647
20,5,2,6.85,3.8911,4.538
21,5,2,4.53,3.7516,4.1148
22,5,2,7.63,1.0792,1.2464
23,5,2,4.54,1.1876,1.2561
0,6,2,3.78,0.697,0.7852
1,6,2,6.67,0.8175,0.931
2,6,2,8.62,0.8405,0.8591
3,6,2,8.55,0.8935,0.8812
4,6,2,8.83,0.7746,0.8467
5,6,2,7.36,0.7481,0.8732
6,6,2,7.14,3.0864,3.4751
7,6,2,6.58,3.7076,3.9687
8,6,2,4.45,3.4874,3.7884
9,6,2,3.87,2.3674,2.4965
10,6,2,10.5,2.7276,2.7242
11,6,2,5.18,2.085,2.4378
12,6,2,7.32,2.1121,2.3437
13,6,2,9.73,1.8747,2.1924
14,6,2,11.52,2.2787,2.1981
15,6,2,7.53,2.411,2.4771
16,6,2,7.98,2.1881,2.1936
17,6,2,8.73,2.0127,2.2063
18,6,2,7.02,4.4401,4.478
19,6,2,4.81,4.7543,4.6639
20,6,2,6.87,4.6907,4.9309
21,6,2,3.69,4.5567,5.035
22,6,2,7.18,1.2128,1.3135
23,6,2,4.75,1.4458,1.4083
0,0,2,4.32,1.1071,1.206
1,0,2,5.52,0.959,1.1014
2,0,2,6.42,1.2609,1.2495
3,0,2,8.66,1.1875,1.2789
4,0,2,5.75,0.9345,1.0894
5,0,2,8.42,1.1043,1.1987
6,0,2,5.7,5.3955,5.4744
7,0,2,5.39,4.8351,5.2598
8,0,2,8.52,5.1374,5.6273
9,0,2,5.69,3.5878,3.663
10,0,2,9.05,3.549,3.4505
11,0,2,7.33,3.3525,3.7983
12,0,2,8.38,2.9279,3.4364
13,0,2,9.6,3.6036,3.4621
14,0,2,10.45,3.939,3.8077
15,0,2,9.47,3.2082,3.2502
16,0,2,5.61,3.6327,3.8734
17,0,2,6.15,3.1633,3.1962
18,0,2,8.23,5.7532,5.7642
19,0,2,8.77,5.0898,5.8367
20,0,2,5.87,5.8139,6.7308
21,0,2,8.32,6.742,6.5365
22,0,2,6.63,2.0493,2.15
23,0,2,6.54,1.7428,2.0029
0,1,2,5.71,1.0423,1.0946
1,1,2,6.01,1.0239,1.1423
2,1,2,3.24,1.1049,1.2826
3,1,2,9.88,1.1976,1.3039
4,1,2,6.04,1.0323,1.172
5,1,2,7.58,1.1086,1.0809
6,1,2,7.34,5.7024,5.9245
7,1,2,5.81,5.5231,6.1397
8,1,2,9.02,5.1115,5.5818
9,1,2,6.83,2.9911,3.086
10,1,2,8.93,2.7783,3.2378
11,1,2,5.94,3.5027,3.8183
12,1,2,9.11,3.402,3.7155
13,1,2,5.43,3.5215,3.6612
14,1,2,8.48,3.2593,3.1095
15,1,2,7.94,3.9854,3.8676
16,1,2,6.95,3.5213,3.7452
17,1,2,5.16,2.8007,3.0856
18,1,2,6.45,6.7758,6.9571
19,1,2,5.48,6.4731,6.2042
20,1,2,4.91,6.1638,6.4175
21,1,2,7.7,6.164,6.5822
22,1,2,2.78,2.2763,2.1963
23,1,2,8.15,1.9546,1.9722
0,2,2,3.47,1.206,1.2181
1,2,2,9.84,1.0599,1.1161
2,2,2,3.41,1.0791,1.0567
3,2,2,2.46,1.1077,1.0932
4,2,2,4.29,1.1832,1.2744
5,2,2,8.39,1.1331,1.1752
6,2,2,6.52,5.655,5.6912
7,2,2,4.54,5.5613,5.4955
8,2,2,7.26,5.4248,5.2071
9,2,2,8.09,4.0829,3.9099
10,2,2,7.82,3.6101,3.7145
11,2,2,9.55,3.5473,3.5364
12,2,2,7.93,3.3215,3.8093
13,2,2,8.59,3.2823,3.505
14,2,2,10.71,3.2652,3.209
15,2,2,10.46,2.6631,3.1209
16,2,2,3.34,3.1892,3.2181
17,2,2,7.94,3.1685,3.2718
18,2,2,6.97,6.3655,6.1936
19,2,2,8.04,6.3566,7.102
20,2,2,3.87,6.1062,6.4547
21,2,2,10.63,6.0188,5.8985
22,2,2,9.34,1.8611,2.0255
23,2,2,5.89,1.919,1.9004
0,3,2,3.88,1.289,1.3226
1,3,2,6.05,1.1987,1.2608
2,3,2,5.5,1.1587,1.1091
3,3,2,9.12,1.2342,1.3039
4,3,2,7.97,1.1471,1.1444
5,3,2,6.03,1.0748,1.1444
6,3,2,5.94,5.4259,5.3509
7,3,2,6.42,5.0361,5.8238
8,3,2,6.04,5.4755,5.8855
9,3,2,9.14,3.8878,3.8487
10,3,2,8.82,3.5072,3.4867
11,3,2,9.4,3.4384,3.7553
12,3,2,9.52,2.708,3.1529
13,3,2,10.65,3.9116,3.8103
14,3,2,9.21,3.1288,3.4482
15,3,2,8.38,3.1299,3.501
16,3,2,5.05,2.7092,3.0834
17,3,2,3.33,2.9067,3.2471
18,3,2,7.27,6.0627,6.2309
19,3,2,6.28,6.5861,6.66
20,3,2,9.11,5.4565,5.9692
21,3,2,3.83,6.0578,6.69
22,3,2,8.23,2.1258,2.161
23,3,2,7.2,2.151,2.1849
0,4,2,5.97,0.9677,1.1107
1,4,2,8.6,1.1463,1.2285
2,4,2,5.01,1.0893,1.0738
3,4,2,3.09,1.2322,1.2877
4,4,2,6.08,1.0787,1.0647
5,4,2,4.85,1.0722,1.0709
6,4,2,3.99,4.8154,5.3539
7,4,2,9.85,4.6676,5.2325
8,4,2,7.48,4.6665,5.1082
9,4,2,8.07,2.9992,3.2132
10,4,2,8.41,2.792,3.1281
11,4,2,9.18,3.7736,3.8276
12,4,2,5.82,3.0628,3.4326
13,4,2,8.66,3.2808,3.3992
14,4,2,12.56,3.267,3.5931
15,4,2,6.9,3.8403,3.7442
16,4,2,9.19,3.2241,3.5601
17,4,2,5.75,3.2714,3.6998
18,4,2,5.36,5.7469,6.4798
19,4,2,8.44,6.5163,6.2629
20,4,2,9.42,5.4169,6.315
21,4,2,3.2,5.6206,5.8639
22,4,2,6.42,1.7864,1.9633
23,4,2,5.34,1.6585,1.7719
0,5,2,6.77,0.7607,0.7884
1,5,2,8.88,0.6618,0.7515
2,5,2,5.97,0.8199,0.8743
3,5,2,4.73,0.9156,0.9141
4,5,2,10.54,0.9095,0.8913
5,5,2,8.95,0.8956,0.8864
6,5,2,8.88,3.7416,3.8271
7,5,2,6.16,3.9083,4.1744
8,5,2,9.17,4.3015,4.1266
9,5,2,3.39,2.5768,2.5733
10,5,2,7.21,2.5943,2.6893
11,5,2,11.35,2.3558,2.2544
12,5,2,8.6,2.6058,2.5821
13,5,2,10.21,2.0243,2.2802
14,5,2,9.2,2.1322,2.4563
15,5,2,6.69,2.3613,2.3031
16,5,2,7.3,1.9713,2.2738
17,5,2,6.16,2.4217,2.421
18,5,2,4.3,3.9517,4.3794
19,5,2,7.48,4.4303,5.0172
20,5,2,2.63,3.7839,4.361
21,5,2,4.41,4.1004,4.0678
22,5,2,6.66,1.3216,1.3452
23,5,2,6.77,1.6132,1.5478
0,6,2,7.04,0.9117,0.9041
1,6,2,11.75,0.7628,0.8812
2,6,2,6.33,0.809,0.9331
3,6,2,9.07,0.8301,0.9273
4,6,2,6.17,0.9652,0.9263
5,6,2,6.4,0.8012,0.8096
6,6,2,4.94,3.1521,3.6881
7,6,2,6.14,3.8319,3.9076
8,6,2,5.94,3.8323,4.1072
9,6,2,6.21,1.9299,2.1652
10,6,2,6.78,1.9308,2.2608
11,6,2,9.41,2.4863,2.5477
12,6,2,9.89,2.5296,2.6253
13,6,2,8.3,2.1452,2.4877
14,6,2,9.76,2.2318,2.3855
15,6,2,7.03,2.6058,2.5593
16,6,2,5.75,2.4182,2.5251
17,6,2,5.52,2.4753,2.5811
18,6,2,5.55,4.5239,4.362
19,6,2,3.08,4.4069,4.5237
20,6,2,5.77,4.1021,4.5174
21,6,2,5.05,4.0777,4.7527
22,6,2,5.24,1.3092,1.3271
23,6,2,6.05,1.4101,1.4513
0,0,2,6.21,1.2556,1.2669
1,0,2,2.93,1.0634,1.1376
2,0,2,7.11,1.0782,1.1616
3,0,2,8.84,1.1315,1.1193
4,0,2,8.36,1.091,1.2594
5,0,2,3.81,1.0484,1.0641
6,0,2,8.68,5.574,6.093
7,0,2,7.42,5.0452,5.1798
8,0,2,7.25,4.7469,5.3292
9,0,2,9.2,3.3391,3.1807
10,0,2,7.84,3.2067,3.0816
11,0,2,7.51,3.4093,3.4316
12,0,2,7.75,3.4681,3.6788
13,0,2,8.16,3.9867,3.909
14,0,2,10.18,2.8938,3.294
15,0,2,7.0,3.3539,3.5133
16,0,2,8.47,3.2848,3.6009
17,0,2,6.82,2.8361,3.1921
18,0,2,7.04,6.921,6.9841
19,0,2,6.01,6.2013,6.304
20,0,2,5.04,6.8067,7.0947
21,0,2,9.62,6.1586,6.5176
22,0,2,8.96,1.8077,1.9455
23,0,2,5.84,1.9265,2.009
0,1,2,6.96,1.0544,1.18
1,1,2,4.57,1.1956,1.1556
2,1,2,4.95,1.1653,1.2173
3,1,2,7.66,1.131,1.096
4,1,2,6.16,1.166,1.2248
5,1,2,7.09,1.0825,1.1992
6,1,2,1.83,5.4093,5.6968
7,1,2,8.23,4.3792,4.9364
8,1,2,5.02,4.9972,5.643
9,1,2,6.68,2.8271,3.2562
10,1,2,8.52,3.112,3.3281
11,1,2,6.07,3.8461,3.8733
12,1,2,11.79,3.7495,3.5784
13,1,2,9.33,2.9447,3.169
14,1,2,9.63,3.1538,3.189
15,1,2,7.52,2.9251,3.3697
16,1,2,7.3,3.0252,3.443
17,1,2,3.9,3.0557,3.2018
18,1,2,9.31,5.1995,5.8391
19,1,2,4.99,5.6328,5.9375
20,1,2,5.67,5.4944,5.8563
21,1,2,4.07,5.6254,6.0854
22,1,2,4.39,1.76,1.8657
23,1,2,3.76,2.341,2.2382
0,2,2,7.14,0.9872,1.0792
1,2,2,3.46,0.9212,1.0601
2,2,2,11.39,1.0224,1.1538
3,2,2,4.42,1.1825,1.1588
4,2,2,11.34,1.074,1.2111
5,2,2,2.03,0.9705,1.0999
6,2,2,5.2,4.5888,5.1882
7,2,2,7.15,4.7157,4.8968
8,2,2,7.83,4.8634,5.1708
9,2,2,8.08,3.2964,3.6859
10,2,2,6.99,3.4464,3.3445
11,2,2,9.2,3.7994,3.8754
12,2,2,8.92,3.5913,3.4832
13,2,2,8.64,3.3042,3.3783
14,2,2,7.89,2.9567,3.1842
15,2,2,9.91,3.5099,3.7913
16,2,2,9.12,3.454,3.4516
17,2,2,6.42,3.6489,3.8567
18,2,2,6.37,5.5054,6.0967
19,2,2,8.48,7.1124,6.8393
20,2,2,8.47,6.1773,6.5736
21,2,2,9.12,6.4016,7.0455
22,2,2,5.59,1.9692,1.9497
23,2,2,4.51,1.8509,2.0978
0,3,2,4.43,1.0987,1.0902
1,3,2,6.97,1.2964,1.2562
2,3,2,7.09,1.1451,1.1691
3,3,2,7.99,0.9468,1.1063
4,3,2,5.99,1.1992,1.243
5,3,2,4.89,1.0956,1.1858
6,3,2,7.38,5.2916,5.8026
7,3,2,7.07,5.8033,6.0587
8,3,2,5.12,4.3721,4.9367
9,3,2,8.52,3.7864,3.7224
10,3,2,5.99,2.9856,3.2642
11,3,2,9.05,3.5567,3.6023
12,3,2,7.88,3.2671,3.3278
13,3,2,6.82,3.442,3.3369
14,3,2,9.01,3.6618,3.6781
15,3,2,8.84,3.2144,3.5156
16,3,2,8.44,3.5413,3.7275
17,3,2,6.89,3.1989,3.305
18,3,2,3.42,5.8848,6.2161
19,3,2,5.21,7.1561,6.9652
20,3,2,6.89,6.4053,7.2745
21,3,2,7.67,6.5303,6.4677
22,3,2,6.82,2.0589,2.1109
23,3,2,5.11,1.9084,2.005
0,4,2,6.2,1.2263,1.2009
1,4,2,4.57,1.1928,1.2852
2,4,2,5.37,0.9874,1.0656
3,4,2,8.28,0.9671,1.1295
4,4,2,5.42,1.1023,1.1813
5,4,2,8.23,1.1522,1.1925
6,4,2,6.3,5.2183,6.0382
7,4,2,5.2,4.8824,5.1137
8,4,2,7.33,5.5526,5.9752
9,4,2,6.31,2.8085,3.2891
10,4,2,8.19,3.3256,3.5306
11,4,2,6.07,3.8543,3.6737
12,4,2,7.54,3.5973,3.7428
13,4,2,10.72,3.8331,3.9081
14,4,2,7.76,3.2302,3.6896
15,4,2,6.86,3.6045,3.4868
16,4,2,8.01,2.7772,3.1675
17,4,2,4.97,3.0266,3.4943
18,4,2,2.97,6.6947,6.5817
19,4,2,7.37,5.7038,6.5299
20,4,2,6.84,5.2167,5.993
21,4,2,5.8,6.0787,6.9777
22,4,2,9.05,2.1186,2.1182
23,4,2,7.62,1.6818,1.7896
0,5,2,7.59,0.8109,0.8802
1,5,2,8.75,0.7343,0.7621
2,5,2,5.03,0.7571,0.8761
3,5,2,4.5,0.7775,0.8772
4,5,2,6.32,0.7103,0.8066
5,5,2,6.07,0.8883,0.9151
6,5,2,4.97,3.5166,3.9024
7,5,2,4.39,3.4062,3.4183
8,5,2,6.9,3.0511,3.4501
9,5,2,6.21,2.5529,2.6665
10,5,2,9.07,2.6573,2.6164
11,5,2,4.82,2.4395,2.4552
12,5,2,8.27,2.2707,2.6584
13,5,2,11.41,2.4113,2.6265
14,5,2,7.13,2.1665,2.2658
15,5,2,11.18,1.8813,2.1975
16,5,2,3.84,2.4622,2.7182
17,5,2,3.81,2.4279,2.678
